usage_date_utc,model,api_key,usage_type,token_type,cost_usd
2024-03-05,Claude 3 Opus,,message,input_no_cache,0.00
2024-03-05,Claude 3 Opus,,message,output,0.04
2024-03-08,Claude 3 Opus,,message,input_no_cache,0.60
2024-03-08,Claude 3 Opus,,message,output,1.28
2024-03-09,Claude 3 Opus,,message,input_no_cache,2.35
2024-03-09,Claude 3 Opus,,message,output,1.23
2024-03-11,Claude 3 Opus,,message,input_no_cache,0.00
2024-03-11,Claude 3 Opus,,message,output,0.02
2024-03-12,Claude 3 Opus,,message,input_no_cache,0.57
2024-03-12,Claude 3 Opus,,message,output,0.60
2024-03-13,Claude 3 Opus,,message,input_no_cache,16.12
2024-03-13,Claude 3 Opus,,message,output,4.95
2024-03-14,Claude 3 Opus,,message,input_no_cache,0.41
2024-03-14,Claude 3 Opus,,message,output,0.39
2024-03-15,Claude 3 Opus,,message,input_no_cache,5.08
2024-03-15,Claude 3 Opus,,message,output,1.47
2024-03-16,Claude 3 Opus,,message,input_no_cache,21.40
2024-03-16,Claude 3 Opus,,message,output,4.28
2024-03-17,Claude 3 Opus,,message,input_no_cache,3.56
2024-03-17,Claude 3 Opus,,message,output,2.32
2024-03-17,Claude 3 Sonnet,,message,input_no_cache,0.00
2024-03-17,Claude 3 Sonnet,,message,output,0.00
2024-03-18,Claude 3 Haiku,,message,input_no_cache,0.00
2024-03-18,Claude 3 Haiku,,message,output,0.00
2024-03-18,Claude 3 Opus,,message,input_no_cache,0.23
2024-03-18,Claude 3 Opus,,message,output,0.70
2024-03-18,Claude Instant,,message,input_no_cache,0.00
2024-03-18,Claude Instant,,message,output,0.00
2024-03-19,Claude 3 Opus,,message,input_no_cache,1.04
2024-03-19,Claude 3 Opus,,message,output,0.73
2024-03-20,Claude 3 Haiku,,message,input_no_cache,0.00
2024-03-20,Claude 3 Haiku,,message,output,0.01
2024-03-20,Claude 3 Opus,,message,input_no_cache,9.34
2024-03-20,Claude 3 Opus,,message,output,3.31
2024-03-21,Claude 3 Haiku,,message,input_no_cache,0.00
2024-03-21,Claude 3 Haiku,,message,output,0.00
2024-03-21,Claude 3 Opus,,message,input_no_cache,0.06
2024-03-21,Claude 3 Opus,,message,output,0.21
2024-03-25,Claude 3 Opus,,message,input_no_cache,0.18
2024-03-25,Claude 3 Opus,,message,output,0.98
2024-03-26,Claude 3 Opus,,message,input_no_cache,0.20
2024-03-26,Claude 3 Opus,,message,output,0.32
2024-03-27,Claude 3 Opus,,message,input_no_cache,1.24
2024-03-27,Claude 3 Opus,,message,output,0.66
2024-03-28,Claude 3 Opus,,message,input_no_cache,0.03
2024-03-28,Claude 3 Opus,,message,output,0.30
2024-03-29,Claude 3 Opus,,message,input_no_cache,0.04
2024-03-29,Claude 3 Opus,,message,output,0.14
